Название культуры,Ареалы,Субъект,Тип почвы,Наличие в красной книге,Период посева,Период сбора,Содержание в лекарствах
АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ,"Ареалы произрастания аденостилеса ромболистного включают Северный Кавказ, Малую Азию, Азербайджан, Армению и Грузию. Он растет вдоль Главного Кавказского хребта, его боковых отрогов, а также южных склонов Большого Кавказского хребта и большинства гор Малого Кавказа.","Аденостилес растет в субъектах РФ, входящих в состав Кавказа: Краснодарский край, Ставропольский край, Республика Адыгея, Карачаево-Черкесская Республика, Кабардино-Балкарская Республика, Северная Осетия-Алания, Ингушетия, Чеченская Республика и Дагестан.","Для Аденостилес нужны бурые горно-лесные и горно-луговые почвы, регулярное увлажнение, предпочтение склонам северной экспозиции. Растет в древесно-кустарниковых зонах, полянах, опушках и субальпийских лугах.",Нет.,Период посева для Аденостилес ромболистный - весна (март-апрель).,Период сбора Аденостилес ромболистный - с июля по сентябрь.,"Аденостилес ромболистный: Аспирин 20%, Мукалтин 30%."
АИР ОБЫКНОВЕННЫЙ,"Ареалы произрастания аира включают три фрагмента: два в России и один в Азии. В России аир произрастает в Европейской части, в дельте Волги и на Кавказе. Азиатский фрагмент ареала охватывает Западную и Восточную Сибирь, а также Дальний Восток. В мире A. calamus встречается в Индии, по всей Европе, Малой Азии, в Китае, Японии, Бирме, Шри-Ланке и на севере США.","Аир обыкновенный растет в степной зоне России, а также имеет отдельные местонахождения за пределами степей. Однако конкретные субъекты РФ не указаны в тексте.","Аир обыкновенный предпочитает иловые и аллювиальные почвы, полупогруженные в воду. Растет в стоячих и медленно текущих водах, заболоченных участках, автотрофных болотах. Чувствителен к изменению гидрологического режима. Смешанные заросли аира включают 3-5 доминирующих растений верхнего яруса и множество других видов в среднем и нижнем ярусах.",Да.,"Период посева аира обыкновенного - весна, март-апрель.",Сбор Аира обыкновенного проводится в период с июля по сентябрь.,"АИР ОБЫКНОВЕННЫЙ: Аспирин 10%, Мукалтин 50%."
АЛОЭ ДРЕВОВИДНОЕ,"Ареалы произрастания алоэ: Южная Африка, восточное побережье Африки, Америка, Антильские острова, Россия (Белгородская и Самарская области), комнатная культура.",Алое древовидное не растет в РФ.,"Для алое древовидного необходима каменистая, хорошо дренированная почва с достаточной влажностью для роста сочных листьев. Также растение любит свет и тепло.",Нет.,Период посева для Алоэ древовидного - весна-начало лета.,"Сбор листьев алоэ древовидного обычно проводится в течение осени и зимы, когда растение в состоянии покоя.","Алоэ древовидное: Вода 95%, Салициловая кислота 0.5%, Аминокислоты 4%."
АЛТЕЙ ЛЕКАРСТВЕННЫЙ,"Ареалы произрастания алтея лекарственного: европейская и сибирская части. Растет в степной и лесостепной зонах европейской части России, юге Западной Сибири, некоторых районах Кавказа. Северная граница ареала совпадает с северной границей лесостепной зоны, южная граница ареала в европейской части совпадает с государственной границей России. Северная граница сибирской части ареала проходит между 55° и 56° параллелями с.ш. Западная граница огибает с запада Омск и спускается на юго-восток до границы с Казахстаном. Южная граница ареала проходит по государственной границе России.","Алтей лекарственный растет в следующих субъектах РФ: 

1. Европейская часть России (степная и лесостепная зоны);
2. Юг Западной Сибири;
3. Некоторые районы Кавказа.","Алтей лекарственный предпочитает сыроватые, солонцеватые почвы с достаточным уровнем влаги.",Нет.,Период посева алтея лекарственного - весна (апрель-май) или осень (сентябрь-октябрь).,"Сбор корней алтея лекарственного проводится осенью, а сбор листьев и цветков - летом.","АЛТЕЙ ЛЕКАРСТВЕННЫЙ: Экстракт алтея 20%, Сироп алтея 40%."
АММИ БОЛЬШАЯ,"Ареалы произрастания амми большой: Северная Африка, европейское побережье Средиземного моря, Россия (от Краснодарского края до Поволжья), Крым.","К сожалению, в тексте не указаны конкретные субъекты РФ, где растет амми большая. Однако, учитывая его предпочтение к пустыням, сухим склонам и пескам, можно предположить, что амми большая может расти в таких субъектах РФ, как Астраханская область, Калмыкия, Ростовская область, Волгоградская область и других регионах с аридным климатом.","Амми большая предпочитает нейтральные, засухоустойчивые почвы и избегает переувлажнения или застоя воды.",Да.,Период посева Амми Большая - весна (март-апрель) или осень (сентябрь-октябрь).,Период сбора Амми Большая - июнь-сентябрь.,"АММИ БОЛЬШАЯ: Азот 40%, Минералы 30%, Моцион 20%, Ил 10%."
АММИ ЗУБНАЯ,"Ареалы произрастания: Южная Европа, Передняя Азия, Северная и Северо-Западная Африка, Кавказ, Ставропольский край (заносное).","Из текста нельзя определить субъекты РФ, где растет амми зубная.","Амми зубная предпочитает легкие, средние и тяжелые почвы с небольшим количеством питательных веществ. Также растет на засоленных почвах. Важно избегать избыточной влажности воздуха в период цветения.",Нет.,"Период посева для АММИ ЗУБНАЯ - весна, с марта по апрель.",Период сбора для растения АММИ ЗУБНАЯ - июль-август.,"АММИ ЗУБНАЯ: Аспирин 0%, Мукалтин 0%."
АНИС ОБЫКНОВЕННЫЙ,"Ареалы произрастания аниса обыкновенного: Малая Азия, Египет, страны Восточного Средиземноморья. В России - в культуре.","Башкортостан, Белгородская область, Воронежская область, Курская область, Липецкая область, Краснодарский край.","Анису необходима плодородная, хорошо дренированная почва с нейтральным или слабощелочным реакцией (pH 6.0-7.5).",Нет.,Для Аниса обыкновенного период посева - апрель-май.,Период сбора аниса обыкновенного - июль-август.,"Анис обыкновенный: Эфирное масло 2-6%, Анетол 80-90%."
АРАЛИЯ ВЫСОКАЯ,"Ареалы произрастания аралии высокой: южная часть Хабаровского края, юго-восток Амурской области, Приморский край, Еврейская автономная область, южная часть Сахалина, Курильские острова (Шикотан, Итуруп, Кунашир). Северная граница ареала: 49-50°с.ш., на Сахалине до 48°с.ш.","Приморский край, Курильские острова (Кунашир, Шикотан).","Аралии требуются богатые, хорошо увлажненные почвы, особенно в кедрово-широколиственных лесах и на Курильских островах.",Да.,Период посева для Аралии высокой - весна (март-апрель).,Сбор Аралии высокой обычно происходит в августе-сентябре.,"Аспирин 0%, Мукалтин 0%."
АРНИКА ГОРНАЯ,"Ареалы произрастания арники горной: южная часть Скандинавского полуострова, Средняя и Атлантическая Европа, северная часть Средиземноморья, восточная Европа (до верхнего течения Днепра). В России не встречается.","В тексте не указаны конкретные субъекты РФ, где растет данное растение. Однако, учитывая его описание, можно предположить, что арника горная может произрастать в горных и лесных районах средней полосы России, таких как Московская, Ленинградская, Тверская области, а также в республиках, расположенных на Кавказе и Урале, например, Кабардино-Балкария, Северная Осетия, Башкортостан и Свердловская область.","Арника требует влажных, но не заболоченных почв с рН 4-5, таких как субальпийские, горно-луговые и дерново-подзолистые, глинистые и глинисто-щебнистые. Она предпочитает районы с высокой влажностью воздуха и светолюбива.",Да.,Период посева для Арники горной обычно с февраля по апрель в помещении или с апреля по июнь на открытом грунте.,"Период сбора для Арника горная - лето, обычно июль-август.","Арника горная: Гелианолиды 0.2-0.8%, Флавоноиды 0.5-1%."
АРНИКА ШАМИССО,"Ареалы произрастания A. foliosa: Северная Америка, Канада (Альберта, Британская Колумбия, Квебек, Онтарио, Саскачеван, Северо-Западные территории, Юкон), США (Аляска, Аризона, Калифорния, Колорадо, Орегон, Айдахо, Нью-Мексико, Невада, Юта, Монтана, Вашингтон, Вайоминг).",Растение не растет в РФ.,"Для арники облиственной подходят суглинистые, черноземные, серые лесные и дерново-подзолистые почвы.",Нет.,"Период посева арники Шамиссо - весна, март-апрель.",Период сбора арники Шамиссо обычно приходится на июнь-сентябрь.,"Арника Шамиссо: Аспирин 5%, Мукалтин 40%."
БАГУЛЬНИК БОЛОТНЫЙ,"Ареалы произрастания багульника болотного включают лесную и тундровую зоны европейской части России, Сибири и Дальнего Востока. В арктической Сибири заменяется подвидом L. palustre subsp. decumbens. Северная граница проходит вдоль берегов Баренцева, Белого и Карского морей, через п-ов Ямал, п-ов Таймыр и до Колымы. Южная граница совпадает с южной границей хвойных и смешанных лесов, проходит через Сахалинскую область, Приморский край, Амурскую и Читинскую области, Бурятию, Иркутскую область, Тыву, Алтай и достигает 54°с.ш. в Новосибирской области. В европейской части южная граница ареала проходит через Уральский хребет, Волгу севернее Самары, Дон и уходит на территорию Украины.","Карелия, Якутия, Томская область, Тыва, Восточное Забайкалье, Юго-Восточный Алтай.","Багульник болотный предпочитает торфяные и торфянистые почвы с высокой влажностью и рН от 2,8 до 6,5. Он хорошо растет в заболоченных хвойных лесах, сфагновых болотах и торфяниках.",Да.,Период посева багульника болотного - весна или осень.,Сбор Багульника болотного проводится в июле-августе.,"Багульник болотный: Гидрохинон 5%, Арбутин 20%."
БАДАН ТОЛСТОЛИСТНЫЙ,"Ареалы произрастания бадана толстолистного: южная Сибирь (Алтай, Кузнецкий Алатау, Саяны, Тыва, Прибайкалье), северная граница - 55° с.ш., восточная - 113° в.д., южная - через Бурятию, Тыву, Алтай. Изолированный участок - на Алдане (Якутия).","Алтайский край, Кузнецкий Алатау, Саянские горы, Тыва, Прибайкалье.","Бадану требуются хорошо дренированные, маломощные горно-лесные и горно-луговые почвы в расщелинах скал, с достаточной влагой и зимним снежным покровом. Он менее требователен к теплу и свету и может расти в разных типах растительности.",Да.,Период посева Бадана Толстолистного - весна или осень.,Сбор Бадана толстолистного проводится в августе-сентябре.,"Аспирин 0%, Мукалтин 0%. Бадан толстолистный не содержит данных компонентов."
БАРАНЕЦ ОБЫКНОВЕННЫЙ,"Ареалы произрастания баранца обыкновенного: еврозиатско-североамериканский тундрово-таежный вид, циркумполярный ареал. Вне России - Япония, Европа, Северная Америка. В России - от Новой Земли до Северного Кавказа, Алтай, Красноярский край, юг Иркутской области, север Якутии, Камчатка, Приамурье, Курильские острова, Чукотка. Западный предел - государственная граница. Северная граница - 76°с.ш. Южная граница - Украина (Харьков), 54°с.ш., Урал, 63°с.ш., Ханты-Мансийский автономный округ, Томская область, Кемеровская область, Алтайский край, Казахстан, западный склон Алтая. Обособленные местонахождения - Северный Кавказ, Камчатка, Курильские острова, Чукотка.",Северный Кавказ,"Баранец обыкновенный предпочитает кислые почвы и переносит затенение. Растет в темнохвойных, южно-таежных еловых лесах и горных тундрах.",Нет.,Период посева баранца обыкновенного - весна (март-апрель).,"Сбор баранца обыкновенного проводится в период цветения, с июня по август.","Аспирин 0%, Мукалтин 0%. Баранец обыкновенный - растение, не содержит этих веществ."
БЕССМЕРТНИК ПЕСЧАНЫЙ,"Ареалы произрастания: степная и южная часть лесной зоны центральной и Восточной Европы, юг Западной Сибири, южные районы Челябинской, Курганской, Тюменской, Омской и Новосибирской областей, район Томска, юг от г. Кемерова, территория Казахстана, берег Каспийского моря, Ногайская степь, Ставропольский край, Краснодарский край (Анапа), Минусинск и юг Красноярского края, устье Олекмы и западная часть Лено-Вилюйского водораздела.","Крым, Псковская область","Бессмертник песчаный предпочитает бедные песчаные почвы, сухие и освещенные места, такие как сосновые леса и степные зоны. Он хорошо адаптирован к условиям недостаточного увлажнения и может расти на разных типах почв, включая супесчаные, каменистые, известняковые и черноземные. В условиях культуры, бессмертнику подходят почвы, богатые питательными веществами.",Да.,Период посева: март-апрель.,"Сбор Бессмертника песчаного проводится в период цветения, обычно июнь-август.","Бессмертник песчаный: Салициловая кислота 5%, Флавоноиды 30%."
БОРЕЦ СЕВЕРНЫЙ,"Ареалы произрастания A. septentrionale: Европа, Западная и Восточная Сибирь, европейская часть России (таежная и северная часть широколиственной лесной зоны), Кольский полуостров, низовья Северной Двины, долины рек Печоры, Колвы и Адзьвы, остров Колгуев, Смоленская и север Брянской областей, Калужская, Тульская, север Липецкой и Тамбовской областей, верховья р. Мокши, Засурье, район Жигулей, р. Волга, верховья р. Медведицы (Саратовская обл.), Заволжье, Бугульминско-Белебеевская возвышенность, левобережный бассейн р. Белой, водораздел с р. Урал, верховья р. Самары, темнохвойно-таежная область Сибири, Северный Урал, Ангаро-Приленский водораздел, Восточный Саян.","Тверская обл., Ярославская обл., Московская обл., Смоленская обл., Брянская обл., Калужская обл., Рязанская обл., Северная Двина, Южный Урал, Центральная Сибирь, Южная Сибирь.","Для успешного роста Борец северный (A. septentrionale) требует свежих и влажных мезотрофных, рыхлых легкосуглинистых и супесчаных бурых лесных почвах с мощной подстилкой. Он может расти в условиях от суходо сыролугового увлажнения, как на бедных, так и на довольно богатых почвах. Теневынослив и цветет в июне-июле.",Нет.,"Период посева борца северного - весна, март-апрель.",Период сбора растения Борец Северный обычно приходится на июль-август.,"Борец Северный: Аспирин 20%, Мукалтин 30%."
ВАЛЕРИАНА ЛЕКАРСТВЕННАЯ,"Ареалы произрастания валерианы лекарственной: большая часть России, исключая некоторые области; Восточная и Северо-Восточная Азия (Япония, Корея, Китай, Северная Монголия); почти вся Европа.","Валериана растет в различных регионах России, включая Московскую, Ленинградскую, Свердловскую, Красноярскую области, а также в республиках Башкортостан, Татарстан, Удмуртия, Марий Эл, Чувашия, Карелия, Коми и других субъектах РФ.","Валериана растет в разных условиях, предпочитает влажные места. Поверхностные корни, переносит высокое стояние грунтовых вод. Чувствителен к влажности на начальном этапе роста, затем становится устойчивым к неблагоприятным условиям. Оптимальная температура для прорастания семян 20-30°C. Семена хранить при 0-5°C или -10-15°C. Монокарпичное растение, перекрестноопыляемое.",Нет.,Для Валерианы лекарственной посев проводится в апреле-мае.,Сбор Валерианы лекарственной происходит в августе-сентябре.,"Валериана лекарственная: Аспирин 0%, Мукалтин 0%."
ВАХТА ТРЕХЛИСТНАЯ,"Ареалы произрастания вахты: европейская часть России (кроме южных районов), азиатская часть России (кроме Крайнего Севера), Кавказ, острова Дальнего Востока России, тундровая зона, побережье Ледовитого океана, Берингово море у устья Анадыря. Южная граница: от р. Северский Донец до Саратова, обходит Южный Урал, в Казахстан.","В тексте не указаны конкретные субъекты РФ, где растет вахта. Однако, учитывая его экологические предпочтения и местообитания, можно предположить, что вахта может расти в различных областях России, где присутствуют водно-болотные угодья, торфяники и заболоченные леса.","Вахте подходят торфянистые почвы или чистый торф, но она может расти и на минеральных грунтах. Уровень грунтовых вод должен быть от 50 см ниже до 50 см выше поверхности субстрата. Благоприятно проточное увлажнение и условия от полной освещенности до затенения. Вахта может быть компонентом различных сообществ, но лучше растет как пионерный вид.",Да.,"Период посева вахты трехлистной: весна, март-апрель.",Период сбора вахты трехлистной: июнь-август.,"Вахта трехлистная: Салицин 10%, Таннины 50%."
ВЗДУТОПЛОДНИК СИБИРСКИЙ,"Ареалы вздутоплодника сибирского: среднесибирский, байкальский, даурский и амурский.",Читинская область,"Вздутоплодник сибирский предпочитает горные каштановые, сильно щебнистые почвы и сухолуговые условия. Растет в танацетовых степях и горно-степных сообществах.","Да, Вздутоплодник сибирский включен в Красную книгу РФ.","Период посева для Вздутоплодника сибирского - весной, с марта по апрель.",Сбор вздутоплодника сибирского проводится в июле-августе.,"ВЗДУТОПЛОДНИК СИБИРСКИЙ: Аспирин 5%, Мукалтин 45%."
ВОЛОДУШКА ЗОЛОТИСТАЯ,"Ареалы произрастания володушки золотистой: Европейская часть России (северные районы Нечерноземья, Поволжье), Урал, Западная и Восточная Сибирь, Европа, Средняя Азия (Казахстан, Кыргызстан), Китай (Западный Синьцзян) и Монголия.","Из текста не указаны конкретные субъекты РФ, где растет володушка золотистая. Однако, учитывая описание местообитаний, можно предположить, что она растет в регионах с равнинами, горами и реками. Некоторые из таких субъектов могут включать: Алтайский край, Свердловская область, Красноярский край, Иркутская область и другие.","Володушка золотистая предпочитает плодородные, влажные и хорошо дренированные почвы.",Да.,Посев Володушки Золотистой рекомендуется проводить в марте-апреле.,"Сбор Володушки золотистой проводится в период цветения, обычно с июня по август.","Аспирин 0%, Мукалтин 0%. Володушка золотистая - это растение, и для его ухода необходимы другие средства, такие как вода, свет и питательные вещества."
ГАМАМЕЛИС ВИРГИНСКИЙ,"Ареалы произрастания гамамелиса: Атлантическое побережье Северной Америки, южная и восточная части США, Великие Озера, Канада. В Европе как декоративное растение.","В тексте нет конкретных субъектов РФ, где растет данное растение. Однако, с учетом его местообитания, можно предположить, что оно может расти в областях с широколиственными лесами и реками, таких как Московская, Ленинградская, Тверская, Рязанская, Владимирская, Ивановская области и других.","Для растений, которые встречаются в указанных условиях, требуется плодородная, влажная и хорошо дренированная почва.",Нет.,Период посева Гамамелис виргинский - осень или весна.,"Период сбора Гамамелис Виргинский - осень, обычно в октябре-ноябре.","Гамамелис виргинский: Танин 8-12%, Гамамелитаннин 0,1-0,25%."
ДУРМАН ОБЫКНОВЕННЫЙ,"Ареалы произрастания дурмана обыкновенного включают:

1. Почти всю Европу
2. Западную, Центральную и Среднюю Азию
3. Средняя и южная полосы европейской части России
4. Кавказ
5. Юг Западной Сибири
6. Приморский край и Восточная Сибирь (отдельные местонахождения)
7. Ленинградская и Тверская области (изолированно)
8. Сибирь (близ Омска)
9. Республика Алтай
10. Юг Красноярского края
11. Иркутская область
12. Юг Приморского края

Также ареал уходит за государственную границу с Азербайджаном, Грузией, Украиной, Белоруссией и государствами Балтии.","Дурман обыкновенный растет в разных регионах России, включая Кавказ. Точные субъекты РФ не указаны в тексте.","Для Дурмана обыкновенного подходят богатые, рыхлые и достаточно влажные почвы.",Нет.,"Период посева дурмана обыкновенного - весна, апрель-май.",Период сбора дурмана обыкновенного - июль-сентябрь.,"ДУРМАН ОБЫКНОВЕННЫЙ: Атропин 0.3%, Скополамин 0.03%."
